experiment_name,has_keyhole,onset_available,first_keyhole_monitor_row_index,first_keyhole_time_s,first_keyhole_tau,peak_dWdt_tau,peak_minus_first_keyhole_ms,peak_precedes_first_observed_keyhole,robust_peak_dWdt_tau,robust_peak_minus_first_keyhole_ms,robust_peak_precedes_first_observed_keyhole,result_type,warning_threshold_fitted
P-447p413798058_VX-0p91078629156_LS-5p3177056457e-05_ST-328p907838563_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p29665482201e-06_H-1553ff852f,1,True,24759.0,0.0004502163,0.2712989778970917,0.585,0.3217567074999999,False,0.005,-0.27313740250000007,True,descriptive_peak_timing_not_learned_warning,False
P-449p184068185_VX-0p980953819102_LS-4p30284180995e-05_ST-381p816740361_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-4p91778563789e-06_H-c87ffcf9e3,1,True,19474.0,0.0003540827,0.198881622981727,0.63,0.407851608,False,0.01,-0.178687984,True,descriptive_peak_timing_not_learned_warning,False
P-449p762375807_VX-0p721910835583_LS-4p02949716673e-05_ST-312p266645761_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p68243273994e-06_H-c87ffcf9e3,1,True,22786.0,0.0004143276,0.1460391585204843,0.47,0.4160274350000001,False,0.0,-0.1875421,True,descriptive_peak_timing_not_learned_warning,False
P-135p208661893_VX-0p295797438033_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-6p32116012922e-06_H-fb250c7cf9,1,True,61921.0,0.001125169,0.90001744514858,0.11,-0.98640615802,True,0.0,-1.1237508180000002,True,descriptive_peak_timing_not_learned_warning,False
P-140p119887795_VX-0p222892199661_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-8p38873219639e-06_H-fb250c7cf9,1,True,65096.0,0.001182829,0.9461999672679696,0.255,-0.863061560435,True,0.0,-1.181465363,True,descriptive_peak_timing_not_learned_warning,False
P-202p397397496_VX-0p555230188132_LS-4p52196790327e-05_ST-397p348654616_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p68850560746e-06_H-0011cc30ec,1,True,35847.0,0.000651644,0.2095648782087756,0.65,0.7315745849999998,False,0.0,-0.34809290000000004,True,descriptive_peak_timing_not_learned_warning,False
P-211p816522505_VX-0p520710876808_LS-4p80782604054e-05_ST-318p660442183_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-9p26448979247e-06_H-5a4acb0e81,1,True,39756.0,0.0007226345,0.227121995839326,0.56,0.5910027600000002,False,0.0,-0.40324,True,descriptive_peak_timing_not_learned_warning,False
P-228p959503311_VX-0p480404321045_LS-6p0796636822e-05_ST-336p115873803_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p00417926977e-05_H-ba17ade68b,1,True,90647.0,0.001646855,0.7438320285941588,0.015,-1.2892664695,True,0.0,-1.3158006999999998,True,descriptive_peak_timing_not_learned_warning,False
P-223p161294482_VX-0p578452940205_LS-4p86833733719e-05_ST-359p100984903_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p33969415266e-06_H-1e85da8953,1,True,36703.0,0.0006671897,0.2380284203780679,0.615,0.6028387759999999,False,0.0,-0.3806461,True,descriptive_peak_timing_not_learned_warning,False
P-240p318887809_VX-0p361018894241_LS-4p85509578057e-05_ST-398p513006139_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p33625155912e-05_H-3a501d5f99,1,True,51471.0,0.0009353882,0.2931932142798403,0.92,1.032797752,False,0.0,-0.48309829999999987,True,descriptive_peak_timing_not_learned_warning,False
