tau,has_keyhole,metric,median,q25,q75,n
0.17500000000000002,1,dWdt_robust_um_per_ms,430.4759526006558,300.76155594612743,578.5383023373851,70
0.18,0,width_um,164.17299171428573,144.25181826373628,172.90105564560437,280
0.18,0,dWdt_um_per_ms,-955.2844121959815,-1536.5865268641212,1.9995781739658085,280
0.18,0,dWdt_robust_um_per_ms,494.66768208114024,340.0343418615073,660.5704163054721,280
0.18,1,width_um,165.50513563736266,134.93077008516485,168.160407489011,70
0.18,1,dWdt_um_per_ms,366.8927598203725,-129.60334137612344,804.8903621739269,70
0.18,1,dWdt_robust_um_per_ms,410.5778053203286,299.8708594743442,576.2361206007398,70
0.185,0,width_um,167.0589724230769,146.92296222348372,176.75273461400158,280
0.185,0,dWdt_um_per_ms,-1050.723644486744,-1520.434409340621,-203.81933799504287,280
0.185,0,dWdt_robust_um_per_ms,465.81250794873347,333.9717504631443,670.6497164974513,280
0.185,1,width_um,169.22839288324172,137.10492023766773,172.98215546016547,70
0.185,1,dWdt_um_per_ms,155.24212163951248,-269.70686586929776,615.5935066012994,70
0.185,1,dWdt_robust_um_per_ms,393.9015742428072,294.1133988403712,629.531522562937,70
0.19,0,width_um,170.97686515384612,150.1609855962601,181.41004996978023,280
0.19,0,dWdt_um_per_ms,-984.0820446922123,-1495.5283537592252,-104.43942148784134,280
0.19,0,dWdt_robust_um_per_ms,444.8375441604944,342.698255188727,689.32824561801,280
0.19,1,width_um,172.58657737637367,141.26694140339083,176.40012536193916,70
0.19,1,dWdt_um_per_ms,-197.92607233789005,-593.7728983720624,323.70412506191616,70
0.19,1,dWdt_robust_um_per_ms,402.260460774229,314.3455507334273,633.7285630086393,70
0.195,0,width_um,175.29725399450547,152.54731362597522,184.7897519313186,280
0.195,0,dWdt_um_per_ms,-924.1520233484739,-1574.2203123228883,11.571802787415049,280
0.195,0,dWdt_robust_um_per_ms,445.7725687704593,332.029243020207,655.9471304960882,280
0.195,1,width_um,176.6057142967033,143.4078492774725,179.87216610027468,70
0.195,1,dWdt_um_per_ms,36.517029345042125,-565.2120270236737,387.48548035506366,70
0.195,1,dWdt_robust_um_per_ms,374.60986486777114,321.06212987435543,561.1059773097893,70
0.2,0,width_um,178.70186505494507,154.80676814142856,188.5755465607735,280
0.2,0,dWdt_um_per_ms,-1084.9753293755061,-1557.5222491536451,-167.6664673316094,280
0.2,0,dWdt_robust_um_per_ms,450.7143638528189,323.0342898446292,630.4678902783563,280
0.2,1,width_um,180.39746373626372,148.10907492972493,183.39373008241756,70
0.2,1,dWdt_um_per_ms,-112.50875375332768,-476.9908226716278,373.0525781906897,70
0.2,1,dWdt_robust_um_per_ms,390.01732980221243,307.93936294230986,549.6999014925877,70
0.20500000000000002,0,width_um,181.71021982417585,156.96318684923628,192.7405296771977,280
0.20500000000000002,0,dWdt_um_per_ms,-1019.7690646458261,-1554.166440047162,-120.79020522669,280
0.20500000000000002,0,dWdt_robust_um_per_ms,462.2793635859332,319.57716792112797,611.7971723913333,280
0.20500000000000002,1,width_um,183.2514600966851,148.4138163598901,186.75091410714285,70
0.20500000000000002,1,dWdt_um_per_ms,139.0458547101962,-581.2359758322199,589.5059923512567,70
0.20500000000000002,1,dWdt_robust_um_per_ms,394.7708910969477,294.6863592278434,521.3870480518577,70
0.21,0,width_um,184.7397020329671,159.50250260638882,195.9920474680954,280
0.21,0,dWdt_um_per_ms,-1103.9835633949122,-1636.8615518206643,-190.44698387619604,280
0.21,0,dWdt_robust_um_per_ms,449.71685804132096,317.5354881702627,633.7175131962729,280
0.21,1,width_um,188.14717080219782,150.445860162308,191.2217697499999,70
0.21,1,dWdt_um_per_ms,66.65386346384527,-339.04493693932943,583.3682261981913,70
0.21,1,dWdt_robust_um_per_ms,402.0689477824964,296.02265970546523,547.5206670533189,70
0.215,0,width_um,188.1924310302196,161.60732565384617,199.09117553522097,280
0.215,0,dWdt_um_per_ms,-1109.7266885964377,-1610.6186856822933,-114.78683253784355,280
0.215,0,dWdt_robust_um_per_ms,442.6753754229238,326.92657744983785,636.1090786830999,280
0.215,1,width_um,190.80496754532967,154.0477170041209,194.1996947462813,70
0.215,1,dWdt_um_per_ms,26.283961964248412,-473.4897473200014,648.0855406142348,70
