model,subset,role,feature_count,features,metric,mean,sd_across_repeats,repeat_blocks
abl_shape3_plus_robust_max_positive_dWdt_um_per_ms,q30,ablation,8,P + VX + LS + ST + width_gain_20_um + width_gain_40_um + time_to_50pct_max_width_tau + robust_max_positive_dWdt_um_per_ms,roc_auc,0.9573247265275926,0.008217679440396086,20
abl_shape3_plus_robust_max_positive_dWdt_um_per_ms,q30,ablation,8,P + VX + LS + ST + width_gain_20_um + width_gain_40_um + time_to_50pct_max_width_tau + robust_max_positive_dWdt_um_per_ms,pr_auc,0.9211689164654955,0.01391402981140095,20
abl_shape3_plus_robust_max_positive_dWdt_um_per_ms,q30,ablation,8,P + VX + LS + ST + width_gain_20_um + width_gain_40_um + time_to_50pct_max_width_tau + robust_max_positive_dWdt_um_per_ms,accuracy,0.914368403360853,0.021748012899753415,20
abl_shape3_plus_robust_max_positive_dWdt_um_per_ms,q30,ablation,8,P + VX + LS + ST + width_gain_20_um + width_gain_40_um + time_to_50pct_max_width_tau + robust_max_positive_dWdt_um_per_ms,balanced_accuracy,0.9023981767386596,0.026427435040453577,20
abl_shape3_plus_robust_max_positive_dWdt_um_per_ms,q30,ablation,8,P + VX + LS + ST + width_gain_20_um + width_gain_40_um + time_to_50pct_max_width_tau + robust_max_positive_dWdt_um_per_ms,keyhole_recall,0.8660684976474451,0.04224029449379322,20
abl_shape3_plus_robust_max_positive_dWdt_um_per_ms,q30,ablation,8,P + VX + LS + ST + width_gain_20_um + width_gain_40_um + time_to_50pct_max_width_tau + robust_max_positive_dWdt_um_per_ms,conduction_recall,0.9387278558298746,0.016883949776262622,20
abl_shape3_plus_robust_max_positive_dWdt_um_per_ms,q30,ablation,8,P + VX + LS + ST + width_gain_20_um + width_gain_40_um + time_to_50pct_max_width_tau + robust_max_positive_dWdt_um_per_ms,false_negative,5.0,1.5217718205053643,20
abl_shape3_plus_robust_max_positive_dWdt_um_per_ms,q30,ablation,8,P + VX + LS + ST + width_gain_20_um + width_gain_40_um + time_to_50pct_max_width_tau + robust_max_positive_dWdt_um_per_ms,false_positive,4.55,1.3168942730211068,20
abl_shape3_plus_robust_max_positive_dWdt_um_per_ms,q30,ablation,8,P + VX + LS + ST + width_gain_20_um + width_gain_40_um + time_to_50pct_max_width_tau + robust_max_positive_dWdt_um_per_ms,brier_score,0.07525228604633685,0.006203609139010517,20
abl_shape3_plus_robust_median_positive_dWdt_um_per_ms,full,ablation,8,P + VX + LS + ST + width_gain_20_um + width_gain_40_um + time_to_50pct_max_width_tau + robust_median_positive_dWdt_um_per_ms,roc_auc,0.9925076530612247,0.0023344290779767746,20
