idx,n,err,pmean,q20frac,y,D,logh,B1,kh_frames,partition,cfg,TE
60,20,0.0,0.1188606416624907,0.95,0,82.84798,20.46828353868822,0.8252323471531855,0,new-data,0.0002|0.0014|0.0012|0.0021,0.0021
61,20,0.0,0.000613535823708844,0.0,0,59.03615,19.909562419185228,1.656107842329017,0,new-data,0.0002|0.0014|0.0012|0.0021,0.0021
62,20,0.0,0.03221256802030439,1.0,0,82.8999,20.155251131086057,0.7598156979065657,0,new-data,0.0002|0.0014|0.0012|0.0021,0.0021
63,20,0.0,0.038383805414940755,1.0,0,79.34149000000001,20.18629858440819,0.6563252835821385,0,new-data,0.0002|0.0014|0.0012|0.0021,0.0021
64,20,0.0,0.14302417061456368,1.0,0,88.90671,20.43083892981622,0.8085444912890991,0,new-data,0.0002|0.0014|0.0012|0.0021,0.0021
65,20,0.0,0.029574003411198646,0.05,0,78.99126,20.178092032435877,1.139958209326067,0,new-data,0.0002|0.0014|0.0012|0.0021,0.0021
66,20,0.0,0.017559049377786094,0.0,0,94.03579,20.18388609937647,1.2118802271184341,0,new-data,0.0002|0.0014|0.0012|0.0021,0.0021
67,20,0.0,0.012834672883599296,0.9,0,70.81725,20.19303111072375,0.8218409595547858,0,new-data,0.0002|0.0014|0.0012|0.0021,0.0021
68,20,1.0,0.2633712039526614,1.0,1,112.21860000000001,20.513475223999947,0.4040986836694981,4,new-data,0.0002|0.0014|0.0012|0.0021,0.0021
69,20,0.0,4.0888288242513224e-05,0.0,0,59.06488,19.661053355833136,2.7261356813413204,0,new-data,0.0002|0.0014|0.0012|0.0021,0.0021
70,20,0.0,0.010643135248920998,0.0,0,79.12313,20.035533216152782,1.395319608880013,0,new-data,0.0002|0.0014|0.0012|0.0021,0.0021
71,20,0.0,0.032755196139237344,0.0,0,87.78929000000001,20.26216625678256,1.2339832658278485,0,new-data,0.0002|0.0014|0.0012|0.0021,0.0021
72,20,0.0,0.0032368822052660563,0.0,0,82.97400999999999,19.889902926321984,1.6118864217408795,0,new-data,0.0002|0.0014|0.0012|0.0021,0.0021
73,20,0.0,0.0015812714086223423,0.0,0,63.226229999999994,19.99087922657056,1.6992214229604674,0,new-data,0.0002|0.0014|0.0012|0.0021,0.0021
