contrast,role,subset,region,metric,mean_difference,ci_lower,ci_upper,positive_repeat_blocks,negative_repeat_blocks,bootstrap_draws
A1_model_on_A0_path - A0_m3_margin,"model value, query path held fixed",full81,EARLY_B16_40,keyhole_recall,0.0030505952380952273,0.0015475446428571797,0.004544717261904748,16,4,10000
A1_model_on_A0_path - A0_m3_margin,"model value, query path held fixed",full81,EARLY_B16_40,roc_auc,0.00022616669538307876,9.869575732445097e-05,0.0003491344346987517,16,4,10000
A1_model_on_A0_path - A0_m3_margin,"model value, query path held fixed",full81,EARLY_B16_40,pr_auc,0.0008000490075444789,0.00028352701941166016,0.0013758360770725413,16,4,10000
A1_model_on_A0_path - A0_m3_margin,"model value, query path held fixed",full81,EARLY_B16_40,brier_score,-0.0003348876309028154,-0.0004504817238588226,-0.00021889211747014116,1,19,10000
A1_model_on_A0_path - A0_m3_margin,"model value, query path held fixed",full81,EARLY_B16_40,conduction_recall,-0.00027141753354441577,-0.0007579620835217894,0.00019104406942558924,8,12,10000
A1_model_on_A0_path - A0_m3_margin,"model value, query path held fixed",full81,FULL_B16_80,accuracy,0.0009731867283950535,0.00019772376543212235,0.0017351948302468786,14,6,10000
A1_model_on_A0_path - A0_m3_margin,"model value, query path held fixed",full81,FULL_B16_80,balanced_accuracy,0.004186964174662439,0.00222665164437559,0.006242857357389221,17,3,10000
A1_model_on_A0_path - A0_m3_margin,"model value, query path held fixed",full81,FULL_B16_80,keyhole_recall,0.009223586309523824,0.0053755394345238365,0.01338398437499999,17,3,10000
A1_model_on_A0_path - A0_m3_margin,"model value, query path held fixed",full81,FULL_B16_80,roc_auc,0.000676104225894325,0.0005002413338307026,0.0008324041634864903,18,2,10000
A1_model_on_A0_path - A0_m3_margin,"model value, query path held fixed",full81,FULL_B16_80,pr_auc,0.002204954133014592,0.0015880778571231498,0.0027451565756139123,18,2,10000
A1_model_on_A0_path - A0_m3_margin,"model value, query path held fixed",full81,FULL_B16_80,brier_score,-0.001081871435675494,-0.0012803372868355391,-0.000856498970889649,1,19,10000
A1_model_on_A0_path - A0_m3_margin,"model value, query path held fixed",full81,FULL_B16_80,conduction_recall,-0.0008496579601989962,-0.0012688594492028403,-0.0004370159147443931,5,15,10000
A4_model_on_A0_path - A0_m3_margin,"ORACLE model value, path held fixed",B1_q20,EARLY_B16_40,accuracy,0.002904411764705861,0.0005759803921568662,0.005220588235294077,13,7,10000
A4_model_on_A0_path - A0_m3_margin,"ORACLE model value, path held fixed",B1_q20,EARLY_B16_40,balanced_accuracy,0.004584388990638994,0.002074139929804005,0.006923938286828879,16,4,10000
A4_model_on_A0_path - A0_m3_margin,"ORACLE model value, path held fixed",B1_q20,EARLY_B16_40,keyhole_recall,0.011953538359788369,0.007843977347883573,0.016085830026455066,17,3,10000
A4_model_on_A0_path - A0_m3_margin,"ORACLE model value, path held fixed",B1_q20,EARLY_B16_40,roc_auc,0.0033324039964665155,0.0016864988888426564,0.0050163979322183075,17,3,10000
A4_model_on_A0_path - A0_m3_margin,"ORACLE model value, path held fixed",B1_q20,EARLY_B16_40,pr_auc,0.003711514213988171,0.0012187963217498757,0.006231386343851639,17,3,10000
A4_model_on_A0_path - A0_m3_margin,"ORACLE model value, path held fixed",B1_q20,EARLY_B16_40,brier_score,-0.0018675533344465894,-0.002541383449648924,-0.0012311018142129974,1,19,10000
A4_model_on_A0_path - A0_m3_margin,"ORACLE model value, path held fixed",B1_q20,EARLY_B16_40,conduction_recall,-0.0027847603785103813,-0.005479670705451968,4.734677937801132e-05,6,14,10000
A4_model_on_A0_path - A0_m3_margin,"ORACLE model value, path held fixed",B1_q20,FULL_B16_80,accuracy,0.00682444852941178,0.004195772058823554,0.009526654411764706,15,5,10000
A4_model_on_A0_path - A0_m3_margin,"ORACLE model value, path held fixed",B1_q20,FULL_B16_80,balanced_accuracy,0.011045092385912702,0.007569273329209869,0.014597449661341284,17,3,10000
A4_model_on_A0_path - A0_m3_margin,"ORACLE model value, path held fixed",B1_q20,FULL_B16_80,keyhole_recall,0.028568731398809517,0.020664384145585322,0.036244681609623,20,0,10000
A4_model_on_A0_path - A0_m3_margin,"ORACLE model value, path held fixed",B1_q20,FULL_B16_80,roc_auc,0.00836723747172965,0.006489711533583623,0.010187339605381582,19,1,10000
A4_model_on_A0_path - A0_m3_margin,"ORACLE model value, path held fixed",B1_q20,FULL_B16_80,pr_auc,0.008250136752594422,0.005644093429643117,0.011112020307908779,18,2,10000
A4_model_on_A0_path - A0_m3_margin,"ORACLE model value, path held fixed",B1_q20,FULL_B16_80,brier_score,-0.00588892922563371,-0.006755498346300149,-0.0050191388589266184,0,20,10000
A4_model_on_A0_path - A0_m3_margin,"ORACLE model value, path held fixed",B1_q20,FULL_B16_80,conduction_recall,-0.0064785466269841165,-0.009189429922291194,-0.003818190956179241,4,16,10000
