dataset,name,observed_target,isotropic_predicted_mean,isotropic_predicted_std,isotropic_absolute_error,isotropic_squared_error,ard_observed_target_check,ard_predicted_mean,ard_predicted_std,ard_absolute_error,ard_squared_error,paired_absolute_error_improvement_isotropic_minus_ard,paired_squared_error_improvement_isotropic_minus_ard,paired_outcome
clean,P-140p314676599_VX-0p596196399995_LS-8p19973378232e-05_ST-342p525649343_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p09149569346e-06_H-95fb07b078,15578.0,15356.58110512339,4898.08444139438,221.4188948766096,49026.32700837907,15578.0,15318.062135685454,2058.972130242631,259.93786431454646,67567.69330440757,-38.518969437936846,-18541.3662960285,ARD_worsened
clean,P-141p451666054_VX-0p378275685755_LS-6p85388508408e-05_ST-315p145948826_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p27529227616e-05_H-8bf1b39107,24547.0,28512.891849639847,4692.373338714292,3965.891849639848,15728298.16303977,24547.0,19189.69658560819,2588.1060918792973,5357.3034143918085,28700699.87385413,-1391.4115647519607,-12972401.71081436,ARD_worsened
clean,P-145p199982561_VX-0p253198682602_LS-7p7513591008e-05_ST-398p693210886_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p90527081478e-05_H-2d34966482,35635.0,30821.33618652838,3525.665652319829,4813.66381347162,23171359.30912613,35635.0,34406.609298686686,1901.6258698325435,1228.390701313314,1508943.7150730153,3585.2731121583065,21662415.594053116,ARD_improved
clean,P-149p381043177_VX-0p292260061908_LS-7p79529508561e-05_ST-384p444199936_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p65062601148e-05_H-6464f5e6a2,30868.0,33271.12745811545,3330.9997859066,2403.1274581154503,5775021.579948425,30868.0,32265.016756557074,1579.417113584026,1397.0167565570737,1951655.8181012461,1006.1107015583766,3823365.7618471794,ARD_improved
clean,P-150p755371566_VX-0p566215971452_LS-6p88880703989e-05_ST-365p237346809_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p51993028498e-06_H-3a501d5f99,16402.0,15770.60097689922,4233.607414094587,631.3990231007792,398664.7263726184,16402.0,16651.99230967796,1851.0934596517704,249.9923096779603,62496.154898121196,381.40671342281894,336168.5714744972,ARD_improved
clean,P-155p08939981_VX-0p967429278716_LS-6p89242148544e-05_ST-322p599938314_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-4p98653566638e-06_H-765072ed36,9875.0,10981.213747651083,5595.931340904483,1106.2137476510852,1223708.855492259,9875.0,8642.301596347796,2101.1041636075024,1232.6984036522044,1519545.3543666932,-126.48465600111922,-295836.49887443427,ARD_worsened
clean,P-156p536166657_VX-0p9922713524_LS-8p48527663575e-05_ST-399p457924021_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-4p86169492987e-06_H-17f36d0008,9360.0,10545.618201316836,3310.385850059265,1185.6182013168343,1405690.519293766,9360.0,10263.257842102146,2864.674859197565,903.2578421021462,815874.7293190258,282.36035921468806,589815.7899747402,ARD_improved
clean,P-162p201106716_VX-0p908426857038_LS-8p56302518524e-05_ST-395p218711567_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p31041169208e-06_H-b41981edcb,10224.0,9889.98036346647,2951.780580691991,334.0196365335305,111569.11758999185,10224.0,10188.207662078952,1933.230008899286,35.792337921047874,1281.0914538544816,298.2272986124826,110288.02613613737,ARD_improved
clean,P-165p961555057_VX-0p261983014715_LS-5p47380727674e-05_ST-307p441799119_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p84138678161e-05_H-b41981edcb,35453.0,32973.13190434696,4299.661917341481,2479.8680956530443,6149745.771837857,35453.0,32159.362493159555,1821.9708464454457,3293.637506840445,10848048.026466142,-813.7694111874007,-4698302.254628286,ARD_worsened
clean,P-171p793878697_VX-0p802872637148_LS-7p56304072004e-05_ST-389p149112673_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p00857518342e-06_H-b41981edcb,11568.0,11186.958521962548,3152.1733652266144,381.0414780374522,145192.60798496616,11568.0,11500.449544671792,1806.4795775934047,67.55045532820805,4563.06401504823,313.49102270924413,140629.54396991793,ARD_improved
