benchmark,method,seed,query_number,budget_before_query,budget_after_query,selected_pool_index,true_boundary_distance,in_pool_boundary_band_q10,in_pool_boundary_band_q20,in_pool_boundary_band_q30,acquisition_shortlist_size,acquisition_requested_shortlist_size,acquisition_finite_difference_h,acquisition_curvature_clip,acquisition_repulsion_bandwidth,acquisition_boundary_weight_power,acquisition_selected_position,acquisition_selected_shortlist_position,acquisition_selected_raw_straddle,acquisition_selected_normalized_uncertainty,acquisition_selected_boundary_weight,acquisition_selected_raw_curvature,acquisition_selected_normalized_curvature,acquisition_selected_repulsion,acquisition_selected_gbc_score,acquisition_fallback_used
branin,gated_geometric_boundary_contraction,2,42,47,48,623,10.269749618024278,False,False,True,200,200,0.001,10.0,0.15,1.0,605,4,0.7109998835384591,0.8590627752292536,0.9407043542266964,5.819537751190788,0.5814126064221556,0.2451949984080779,0.11520573685145286,False
branin,gated_geometric_boundary_contraction,2,43,48,49,845,131.36439236723947,False,False,False,200,200,0.001,10.0,0.15,1.0,821,174,0.24182574485633013,0.9999999999979508,0.40073508890763354,9.719347127336384,0.9719118789662448,0.26903388932674166,0.104783102165735,False
branin,gated_geometric_boundary_contraction,2,44,49,50,249,5.78088372576001,False,True,True,200,200,0.001,10.0,0.15,1.0,247,0,1.008304878324255,0.8062172212361322,0.9950954062234213,4.137305033125235,0.41360435198405104,0.229842183739837,0.07626611625077537,False
branin,gated_geometric_boundary_contraction,3,1,6,7,1273,22.66496468160007,False,False,False,200,200,0.001,10.0,0.15,1.0,1267,179,2.1333610153620066,0.8146752492843622,0.9999873827722832,0.05343447487368646,0.6167703304327766,0.95756980412818,0.4811416565388386,False
branin,gated_geometric_boundary_contraction,3,2,7,8,1125,8.408876692225014,False,True,True,200,200,0.001,10.0,0.15,1.0,1120,132,2.108938621990762,0.999622060628829,0.9996991453260111,10.0,0.9999999999999,0.8815026864254603,0.8809044278821438,False
branin,gated_geometric_boundary_contraction,3,3,8,9,78,26.47869601705277,False,False,False,200,200,0.001,10.0,0.15,1.0,77,71,2.090098974672847,0.9997648326157361,0.999365660333384,10.0,0.9999999999998999,0.8536615826836957,0.8529194452642219,False
branin,gated_geometric_boundary_contraction,3,4,9,10,1389,22.848074112756805,False,False,False,200,200,0.001,10.0,0.15,1.0,1380,197,2.0629657119232636,0.9862657240563146,0.9924518161940086,10.0,0.9999999999998999,0.7564790292937201,0.7404577181041231,False
branin,gated_geometric_boundary_contraction,3,5,10,11,1325,15.352496903668419,False,False,False,200,200,0.001,10.0,0.15,1.0,1316,175,2.044353920227169,0.9900161829120708,0.9898620791298192,10.0,0.9999999999998999,0.750760600293322,0.7357299805698585,False
branin,gated_geometric_boundary_contraction,3,6,11,12,36,103.62417187754059,False,False,False,200,200,0.001,10.0,0.15,1.0,35,143,2.0393807493554235,0.990698364527275,0.9904150601139694,10.0,0.9999999999998999,0.7309273572842307,0.7171878089484438,False
branin,gated_geometric_boundary_contraction,3,7,12,13,1278,9.88063334779747,False,False,True,200,200,0.001,10.0,0.15,1.0,1268,71,2.0291398212359937,0.9910931602538875,0.9906878493947722,10.0,0.9999999999999,0.6985167091699991,0.6858483762416445,False
branin,gated_geometric_boundary_contraction,3,8,13,14,716,7.904784947939081,False,True,True,200,200,0.001,10.0,0.15,1.0,712,82,2.01623018824102,0.9930536358631019,0.9857566294752302,10.0,0.9999999999999,0.687691335720775,0.6731873787196072,False
branin,gated_geometric_boundary_contraction,3,9,14,15,915,17.825378790032595,False,False,False,200,200,0.001,10.0,0.15,1.0,909,108,1.9942953186969683,0.9826640805455229,0.9790664120582411,9.185410198021112,0.9184783476562849,0.6468577712400314,0.5716036009815033,False
branin,gated_geometric_boundary_contraction,3,10,15,16,1463,7.501842525416965,False,True,True,200,200,0.001,10.0,0.15,1.0,1448,110,1.9895121463163457,0.9801628837353222,0.9764953245671737,10.0,0.9999999999999,0.6375194946894032,0.6101855105614262,False
