analysis_type,population_or_route,train_population,test_population,candidate_id,metric,estimate,ci_low,ci_high,bootstrap_resamples,bootstrap_unit,bootstrap_scheme
cross_population_transfer,new_to_old_remote,new-data,old-data-remote-clean,R3,transfer_sensitivity,1.0,1.0,1.0,5000,simulation,stratified test-population resampling; training threshold fixed
cross_population_transfer,new_to_old_remote,new-data,old-data-remote-clean,R3,transfer_specificity,1.0,1.0,1.0,5000,simulation,stratified test-population resampling; training threshold fixed
cross_population_transfer,new_to_all_old,new-data,all-old,T0_depth,transfer_balanced_accuracy,0.7848484848484849,0.6305194805194805,0.9348484848484848,5000,simulation,stratified test-population resampling; training threshold fixed
cross_population_transfer,new_to_all_old,new-data,all-old,T0_depth,transfer_sensitivity,0.6,0.3,0.9,5000,simulation,stratified test-population resampling; training threshold fixed
cross_population_transfer,new_to_all_old,new-data,all-old,T0_depth,transfer_specificity,0.9696969696969697,0.9437229437229437,0.9913419913419913,5000,simulation,stratified test-population resampling; training threshold fixed
cross_population_transfer,new_to_all_old,new-data,all-old,max_depth,transfer_balanced_accuracy,1.0,1.0,1.0,5000,simulation,stratified test-population resampling; training threshold fixed
cross_population_transfer,new_to_all_old,new-data,all-old,max_depth,transfer_sensitivity,1.0,1.0,1.0,5000,simulation,stratified test-population resampling; training threshold fixed
cross_population_transfer,new_to_all_old,new-data,all-old,max_depth,transfer_specificity,1.0,1.0,1.0,5000,simulation,stratified test-population resampling; training threshold fixed
cross_population_transfer,new_to_all_old,new-data,all-old,G3,transfer_balanced_accuracy,0.85,0.7,1.0,5000,simulation,stratified test-population resampling; training threshold fixed
cross_population_transfer,new_to_all_old,new-data,all-old,G3,transfer_sensitivity,0.7,0.4,1.0,5000,simulation,stratified test-population resampling; training threshold fixed
cross_population_transfer,new_to_all_old,new-data,all-old,G3,transfer_specificity,1.0,1.0,1.0,5000,simulation,stratified test-population resampling; training threshold fixed
cross_population_transfer,new_to_all_old,new-data,all-old,R3,transfer_balanced_accuracy,0.8,0.65,0.95,5000,simulation,stratified test-population resampling; training threshold fixed
cross_population_transfer,new_to_all_old,new-data,all-old,R3,transfer_sensitivity,0.6,0.3,0.9,5000,simulation,stratified test-population resampling; training threshold fixed
cross_population_transfer,new_to_all_old,new-data,all-old,R3,transfer_specificity,1.0,1.0,1.0,5000,simulation,stratified test-population resampling; training threshold fixed
cross_population_transfer,all_old_to_new,all-old,new-data,T0_depth,transfer_balanced_accuracy,0.8652365236523651,0.8087380166588087,0.9148200534339148,5000,simulation,stratified test-population resampling; training threshold fixed
cross_population_transfer,all_old_to_new,all-old,new-data,T0_depth,transfer_sensitivity,0.8888888888888888,0.8095238095238095,0.9523809523809523,5000,simulation,stratified test-population resampling; training threshold fixed
cross_population_transfer,all_old_to_new,all-old,new-data,T0_depth,transfer_specificity,0.8415841584158416,0.7720297029702972,0.9108910891089109,5000,simulation,stratified test-population resampling; training threshold fixed
cross_population_transfer,all_old_to_new,all-old,new-data,max_depth,transfer_balanced_accuracy,0.995049504950495,0.9851485148514851,1.0,5000,simulation,stratified test-population resampling; training threshold fixed
cross_population_transfer,all_old_to_new,all-old,new-data,max_depth,transfer_sensitivity,1.0,1.0,1.0,5000,simulation,stratified test-population resampling; training threshold fixed
cross_population_transfer,all_old_to_new,all-old,new-data,max_depth,transfer_specificity,0.9900990099009901,0.9702970297029703,1.0,5000,simulation,stratified test-population resampling; training threshold fixed
cross_population_transfer,all_old_to_new,all-old,new-data,G3,transfer_balanced_accuracy,0.8564356435643564,0.8118811881188119,0.900990099009901,5000,simulation,stratified test-population resampling; training threshold fixed
cross_population_transfer,all_old_to_new,all-old,new-data,G3,transfer_sensitivity,1.0,1.0,1.0,5000,simulation,stratified test-population resampling; training threshold fixed
cross_population_transfer,all_old_to_new,all-old,new-data,G3,transfer_specificity,0.7128712871287128,0.6237623762376238,0.801980198019802,5000,simulation,stratified test-population resampling; training threshold fixed
cross_population_transfer,all_old_to_new,all-old,new-data,R3,transfer_balanced_accuracy,0.8613861386138614,0.8118811881188119,0.900990099009901,5000,simulation,stratified test-population resampling; training threshold fixed
cross_population_transfer,all_old_to_new,all-old,new-data,R3,transfer_sensitivity,1.0,1.0,1.0,5000,simulation,stratified test-population resampling; training threshold fixed
