family,model,repeat,fold,roc_auc,pr_auc,balanced_accuracy,brier_score,log_loss
physical_score,keyhole_process_score_h__raw,5,6,0.9956709956709957,0.9821428571428572,0.9285714285714286,0.022370722907882716,0.07078825378925864
physical_score,keyhole_process_score_h__raw,5,7,0.9740259740259741,0.859750566893424,0.9134199134199135,0.04471739880583849,0.26777650534149144
physical_score,keyhole_process_score_h__raw,5,8,1.0,1.0,1.0,0.003638664285034292,0.02757918155387279
physical_score,keyhole_process_score_h__raw,5,9,0.9913419913419914,0.9682539682539683,0.8571428571428572,0.03212118564056131,0.09948578335525375
physical_score,keyhole_process_score_h__raw,5,10,0.9913419913419914,0.9617346938775511,0.7857142857142857,0.04758714150448633,0.13922962576291634
physical_score,king_style_P_over_LS_sqrtVX__log,1,1,0.9831932773109243,0.948051948051948,0.9285714285714286,0.04024024667551874,0.13012689453624743
physical_score,king_style_P_over_LS_sqrtVX__log,1,2,0.9873949579831932,0.9571428571428571,0.9138655462184874,0.03178020004247016,0.10028195259506734
physical_score,king_style_P_over_LS_sqrtVX__log,1,3,0.9924242424242424,0.975,0.9223484848484849,0.04442633009904858,0.1407372122671706
physical_score,king_style_P_over_LS_sqrtVX__log,1,4,0.9772727272727273,0.8755456349206349,0.9223484848484849,0.04479888674532518,0.17288819627337298
physical_score,king_style_P_over_LS_sqrtVX__log,1,5,1.0,1.0,0.9848484848484849,0.016631771767690366,0.06868442823990731
physical_score,king_style_P_over_LS_sqrtVX__log,1,6,1.0,1.0,0.9696969696969697,0.020429208645458805,0.07368276883347091
physical_score,king_style_P_over_LS_sqrtVX__log,1,7,0.9826839826839827,0.9093537414965986,0.6991341991341992,0.07094796870822248,0.19166184565345695
physical_score,king_style_P_over_LS_sqrtVX__log,1,8,1.0,1.0,1.0,0.00846187938784874,0.04498071757581248
physical_score,king_style_P_over_LS_sqrtVX__log,1,9,1.0,1.0,1.0,0.0016189557356476377,0.018563400353077054
physical_score,king_style_P_over_LS_sqrtVX__log,1,10,0.974025974025974,0.9095238095238095,0.8571428571428572,0.045435289433670534,0.1450594339095814
