arm,c,region,component,association,candidate_rho,repeat_mean_rho,ci_lower,ci_upper,bottom_B1_quartile_mean,top_B1_quartile_mean,top_minus_bottom
REP_C200,2.0,OVERALL_B17_80,r_T,B1_top_vs_bottom_quartile,,,,,0.6028073759817023,0.48842885655711993,-0.11437851942458238
REP_C200,2.0,OVERALL_B17_80,r_ST,spearman_vs_B1,0.14334538439127537,0.1427376625563845,0.11683362137268531,0.1676262189945866,,,
REP_C200,2.0,OVERALL_B17_80,r_ST,B1_top_vs_bottom_quartile,,,,,0.1896289728476836,0.2952378837353036,0.10560891088761998
REP_C400,4.0,EARLY_B17_24,r_N,spearman_vs_B1,0.09625245359674438,0.07128163853091926,0.007353076066696593,0.1410576646839122,,,
REP_C400,4.0,EARLY_B17_24,r_N,B1_top_vs_bottom_quartile,,,,,0.20634253743094239,0.23046224435216786,0.024119706921225476
REP_C400,4.0,EARLY_B17_24,r_T,spearman_vs_B1,-0.08457682316523447,-0.07234949206662929,-0.14534597978135225,-0.00034255671141125867,,,
REP_C400,4.0,EARLY_B17_24,r_T,B1_top_vs_bottom_quartile,,,,,0.5964416983638032,0.5204524395577408,-0.07598925880606244
REP_C400,4.0,EARLY_B17_24,r_ST,spearman_vs_B1,0.08037185829739997,0.02602374424672569,-0.0640394857878404,0.12518768712035422,,,
REP_C400,4.0,EARLY_B17_24,r_ST,B1_top_vs_bottom_quartile,,,,,0.1972157642052544,0.2490853160900914,0.051869551884836995
REP_C400,4.0,MID_B25_40,r_N,spearman_vs_B1,0.02907155806242193,0.001223292815177672,-0.04327172178470718,0.046294771505584184,,,
REP_C400,4.0,MID_B25_40,r_N,B1_top_vs_bottom_quartile,,,,,0.1629166255761299,0.1910468850855581,0.028130259509428185
REP_C400,4.0,MID_B25_40,r_T,spearman_vs_B1,-0.1739291478560392,-0.15939531652473826,-0.1978401540153575,-0.12126541299281444,,,
REP_C400,4.0,MID_B25_40,r_T,B1_top_vs_bottom_quartile,,,,,0.6772060455302837,0.5133602153492711,-0.16384583018101262
REP_C400,4.0,MID_B25_40,r_ST,spearman_vs_B1,0.11803857152037472,0.14363876245560597,0.09617735230244236,0.19322824715802994,,,
REP_C400,4.0,MID_B25_40,r_ST,B1_top_vs_bottom_quartile,,,,,0.15987732889358622,0.2955928995651708,0.1357155706715846
REP_C400,4.0,LATE_B41_80,r_N,spearman_vs_B1,-0.04153938388371862,-0.04002212238803387,-0.062067766504288455,-0.018738607822268497,,,
REP_C400,4.0,LATE_B41_80,r_N,B1_top_vs_bottom_quartile,,,,,0.2314002289456361,0.22694317553070792,-0.0044570534149281915
REP_C400,4.0,LATE_B41_80,r_T,spearman_vs_B1,-0.14082365591800755,-0.14206921727006533,-0.1634765657212749,-0.11958075992550796,,,
REP_C400,4.0,LATE_B41_80,r_T,B1_top_vs_bottom_quartile,,,,,0.5731634472689148,0.4789389255550354,-0.09422452171387935
REP_C400,4.0,LATE_B41_80,r_ST,spearman_vs_B1,0.15930432413226578,0.15528275837246655,0.13459137716696132,0.1751274536187287,,,
REP_C400,4.0,LATE_B41_80,r_ST,B1_top_vs_bottom_quartile,,,,,0.19543632378544903,0.2941178989142566,0.09868157512880757
REP_C400,4.0,OVERALL_B17_80,r_N,spearman_vs_B1,-0.0006721764165280689,-0.0003084200649993129,-0.016641456795390742,0.015822312577834525,,,
REP_C400,4.0,OVERALL_B17_80,r_N,B1_top_vs_bottom_quartile,,,,,0.20687276872642604,0.21713197745971966,0.010259208733293612
REP_C400,4.0,OVERALL_B17_80,r_T,spearman_vs_B1,-0.15221977904949952,-0.1512363616720094,-0.17178561691970082,-0.13214238777151938,,,
REP_C400,4.0,OVERALL_B17_80,r_T,B1_top_vs_bottom_quartile,,,,,0.6059264928117846,0.48830200649952493,-0.11762448631225964
REP_C400,4.0,OVERALL_B17_80,r_ST,spearman_vs_B1,0.14614640883476163,0.14498229564089396,0.1179327497578507,0.17219830187218443,,,
REP_C400,4.0,OVERALL_B17_80,r_ST,B1_top_vs_bottom_quartile,,,,,0.18720073846178942,0.2945660160407554,0.10736527757896597
