population,repeat,arm,threshold,reached,first_true_query_budget,right_censored_at
main_364,9,P3_MONO_EXPECTED_GAIN_M3,0.95,True,21.0,78
main_364,9,P3_MONO_EXPECTED_GAIN_M3,0.97,True,44.0,78
main_364,9,P3_MONO_EXPECTED_GAIN_M3,0.98,False,,78
main_364,10,P0_M3_MARGIN_STANDARD,0.95,True,33.0,120
main_364,10,P0_M3_MARGIN_STANDARD,0.97,True,42.0,120
main_364,10,P0_M3_MARGIN_STANDARD,0.98,True,43.0,120
main_364,10,P1_M3_MARGIN_MONO,0.95,True,34.0,80
main_364,10,P1_M3_MARGIN_MONO,0.97,True,39.0,80
main_364,10,P1_M3_MARGIN_MONO,0.98,False,,80
main_364,10,P2_MONO_BISECTION_M3,0.95,True,18.0,84
main_364,10,P2_MONO_BISECTION_M3,0.97,True,44.0,84
main_364,10,P2_MONO_BISECTION_M3,0.98,True,49.0,84
main_364,10,P3_MONO_EXPECTED_GAIN_M3,0.95,True,30.0,81
main_364,10,P3_MONO_EXPECTED_GAIN_M3,0.97,True,32.0,81
main_364,10,P3_MONO_EXPECTED_GAIN_M3,0.98,True,32.0,81
main_364,11,P0_M3_MARGIN_STANDARD,0.95,True,28.0,120
main_364,11,P0_M3_MARGIN_STANDARD,0.97,True,37.0,120
main_364,11,P0_M3_MARGIN_STANDARD,0.98,True,38.0,120
main_364,11,P1_M3_MARGIN_MONO,0.95,True,35.0,80
main_364,11,P1_M3_MARGIN_MONO,0.97,True,42.0,80
main_364,11,P1_M3_MARGIN_MONO,0.98,False,,80
main_364,11,P2_MONO_BISECTION_M3,0.95,True,21.0,85
main_364,11,P2_MONO_BISECTION_M3,0.97,True,44.0,85
main_364,11,P2_MONO_BISECTION_M3,0.98,True,47.0,85
main_364,11,P3_MONO_EXPECTED_GAIN_M3,0.95,True,26.0,80
main_364,11,P3_MONO_EXPECTED_GAIN_M3,0.97,True,33.0,80
main_364,11,P3_MONO_EXPECTED_GAIN_M3,0.98,True,34.0,80
main_364,12,P0_M3_MARGIN_STANDARD,0.95,True,17.0,120
main_364,12,P0_M3_MARGIN_STANDARD,0.97,True,18.0,120
main_364,12,P0_M3_MARGIN_STANDARD,0.98,True,30.0,120
