population,repeat,arm,correct_resolution_threshold,error_cap,reached,first_true_query_budget,wrong_inference_rate_at_hit
full_405,19,P0_M3_MARGIN_STANDARD,0.95,0.01,False,,
full_405,19,P1_M3_MARGIN_MONO,0.8,0.01,True,45.0,0.0035087719298245615
full_405,19,P1_M3_MARGIN_MONO,0.9,0.01,True,58.0,0.003246753246753247
full_405,19,P1_M3_MARGIN_MONO,0.95,0.01,True,73.0,0.006369426751592357
full_405,19,P2_MONO_BISECTION_M3,0.8,0.01,True,43.0,0.0035335689045936395
full_405,19,P2_MONO_BISECTION_M3,0.9,0.01,True,63.0,0.003289473684210526
full_405,19,P2_MONO_BISECTION_M3,0.95,0.01,True,80.0,0.006514657980456026
full_405,19,P3_MONO_EXPECTED_GAIN_M3,0.8,0.01,True,40.0,0.0034482758620689655
full_405,19,P3_MONO_EXPECTED_GAIN_M3,0.9,0.01,True,55.0,0.003205128205128205
full_405,19,P3_MONO_EXPECTED_GAIN_M3,0.95,0.01,True,73.0,0.006369426751592357
full_405,20,P0_M3_MARGIN_STANDARD,0.8,0.01,False,,
full_405,20,P0_M3_MARGIN_STANDARD,0.9,0.01,False,,
full_405,20,P0_M3_MARGIN_STANDARD,0.95,0.01,False,,
full_405,20,P1_M3_MARGIN_MONO,0.8,0.01,True,46.0,0.01
full_405,20,P1_M3_MARGIN_MONO,0.9,0.01,True,56.0,0.009584664536741214
full_405,20,P1_M3_MARGIN_MONO,0.95,0.01,True,75.0,0.009584664536741214
full_405,20,P2_MONO_BISECTION_M3,0.8,0.01,True,35.0,0.006779661016949152
full_405,20,P2_MONO_BISECTION_M3,0.9,0.01,True,54.0,0.006389776357827476
full_405,20,P2_MONO_BISECTION_M3,0.95,0.01,True,70.0,0.009433962264150943
full_405,20,P3_MONO_EXPECTED_GAIN_M3,0.8,0.01,True,41.0,0.01
full_405,20,P3_MONO_EXPECTED_GAIN_M3,0.9,0.01,True,56.0,0.009615384615384616
full_405,20,P3_MONO_EXPECTED_GAIN_M3,0.95,0.01,True,73.0,0.00949367088607595
main_364,1,P0_M3_MARGIN_STANDARD,0.8,0.01,False,,
main_364,1,P0_M3_MARGIN_STANDARD,0.9,0.01,False,,
