population,repeat,arm,true_query_count_B120,queried_KH_fraction,queried_log_h_mean,queried_log_h_median,selected_margin_uncertainty_mean,selected_G_KH_mean,selected_G_C_mean,selected_expected_gain_mean,newly_inferred_targets_per_true_query,targets_later_conflicted_N,retrospectively_wrong_inferred_targets_N,wrong_targets_known_violation_points_N
main_364,6,P2_MONO_BISECTION_M3,92,0.31521739130434784,20.479109840641154,20.46814391447235,0.29936491935489146,2.223684210526316,2.986842105263158,2.4820441900702552,2.9782608695652173,0,2,2
main_364,6,P3_MONO_EXPECTED_GAIN_M3,80,0.375,20.540947893489662,20.56170274544874,0.4623496013593363,2.28125,4.71875,3.364483131271129,3.575,0,2,2
main_364,7,P0_M3_MARGIN_STANDARD,120,0.38333333333333336,20.558075412473343,20.51243289128118,0.4483548256600206,0.0,0.0,0.0,0.0,0,0,0
main_364,7,P1_M3_MARGIN_MONO,80,0.375,20.543938416866688,20.570030037438144,0.587434534906766,0.859375,6.90625,3.681432253319116,3.5875,0,3,3
main_364,7,P2_MONO_BISECTION_M3,86,0.313953488372093,20.504299631380537,20.490538594086757,0.42955038646294685,1.6285714285714286,3.0,2.326553301489499,3.2674418604651163,0,3,3
main_364,7,P3_MONO_EXPECTED_GAIN_M3,81,0.3950617283950617,20.552970247241046,20.57645210322566,0.5583296929721084,0.7538461538461538,5.6,3.105953494882072,3.5308641975308643,0,3,3
main_364,8,P0_M3_MARGIN_STANDARD,120,0.375,20.550789869159345,20.510982545482406,0.22571913256169734,0.0,0.0,0.0,0.0,0,0,0
main_364,8,P1_M3_MARGIN_MONO,81,0.3950617283950617,20.56241977371753,20.576388636556285,0.2769878383247365,2.0923076923076924,6.246153846153846,2.984406171405432,3.5185185185185186,0,2,2
main_364,8,P2_MONO_BISECTION_M3,88,0.32954545454545453,20.50784900878241,20.490538594086757,0.32828089948294037,2.1527777777777777,2.9027777777777777,2.3938048202825866,3.159090909090909,0,2,2
main_364,8,P3_MONO_EXPECTED_GAIN_M3,80,0.3875,20.55273594277806,20.570030037438144,0.311718017994425,2.140625,5.375,3.337890242810883,3.575,0,2,2
main_364,9,P0_M3_MARGIN_STANDARD,120,0.38333333333333336,20.55543500741735,20.51243289128118,0.4515723505865419,0.0,0.0,0.0,0.0,0,0,0
main_364,9,P1_M3_MARGIN_MONO,78,0.3974358974358974,20.55770643463436,20.576652720870282,0.6107749607755472,0.8064516129032258,8.403225806451612,4.391054230208664,3.6794871794871793,0,3,3
main_364,9,P2_MONO_BISECTION_M3,85,0.32941176470588235,20.50832968911647,20.51139055856241,0.4402455859141005,2.391304347826087,3.4347826086956523,2.8720959251105973,3.2941176470588234,0,3,3
