run_id,repeat,fold,budget,revealed_count,candidate_count,revealed_prefix_sha256,source
w85__r05_f02,5,2,16,16,308,a8714fff776f2a582cf24fdc45161d9bce4ec06bf1f5c69e088bed3c85b283d9,Phase 1.14 published M3-margin path
w85__r05_f02,5,2,24,24,300,476778fc17fbf63718da90c753af446efb13f56576418e5343931f0ff1d6c9a1,Phase 1.14 published M3-margin path
w85__r05_f02,5,2,32,32,292,90d929285ac5bd964a24db9102cf1836e725db451630cd8b9a79ab3bdf6f8087,Phase 1.14 published M3-margin path
w85__r05_f02,5,2,40,40,284,dd2bd9f1290ef9b342289f2b680ec3a0836a7c2f3cbd38a5e8da03cfcf1e861f,Phase 1.14 published M3-margin path
w85__r05_f02,5,2,60,60,264,67e8825c051929298908bdeb6e70c60dbfec0b463b014367e18d24426b6f8ee2,Phase 1.14 published M3-margin path
w85__r05_f02,5,2,80,80,244,4346c0acf6975b0b652ce813e7ebfb0e8bf35d3c23331e21bb8fdc38dffaa23e,Phase 1.14 published M3-margin path
w85__r05_f03,5,3,16,16,308,c65f5253583ecea4146025f5b5bfe4d2992a1403ce5c72ee9f36f37871b2a170,Phase 1.14 published M3-margin path
w85__r05_f03,5,3,24,24,300,2527dc6128225581026a5c6e528fa2297f5df756112bda04eec418e41e3241ac,Phase 1.14 published M3-margin path
w85__r05_f03,5,3,32,32,292,405cea3e13161dc396201d1742a5ec19556a1a1969bb7684478855ba7eef2faa,Phase 1.14 published M3-margin path
w85__r05_f03,5,3,40,40,284,48ed0b3c22f0b9fbb5f459020eec41962ce94ad695dc2cf220dc90c418a73328,Phase 1.14 published M3-margin path
w85__r05_f03,5,3,60,60,264,cefdc08db4435ba06f296c048220b672200a0658c8acb6d41b3b49f2a7efd3f9,Phase 1.14 published M3-margin path
w85__r05_f03,5,3,80,80,244,9aa6cd4ae1333c9e34ef662fb16db795907e856f219e4d54fa0dd3b1c1091464,Phase 1.14 published M3-margin path
w85__r05_f04,5,4,16,16,308,244dcbcd89b1d3b67f467b8de84b9ba8b855ab0e345aa20ffe89f27ac51202ab,Phase 1.14 published M3-margin path
w85__r05_f04,5,4,24,24,300,ee4a9752ea4963cf1c3fcf443de68f1da08d473641694f6e32c6a5f9a01b4b80,Phase 1.14 published M3-margin path
w85__r05_f04,5,4,32,32,292,61ae64bbf7041a26e6c6a0cccfc2408b38e19b1d01b838913a8a1ee129c7c4ab,Phase 1.14 published M3-margin path
w85__r05_f04,5,4,40,40,284,7b625a483da2113115edfecc2df4ce2c691472c25587f60a3a693786035a5f55,Phase 1.14 published M3-margin path
w85__r05_f04,5,4,60,60,264,66a173436c96d9e1f6991a1fedbc46a5f806dad42c90aa689b982724839816c7,Phase 1.14 published M3-margin path
w85__r05_f04,5,4,80,80,244,bc7c1ce789d726b44d86ca4e1bb112e99188cea708aa932c99205f40c156b4da,Phase 1.14 published M3-margin path
w85__r05_f05,5,5,16,16,308,44de8eeae4855ced4aaca4cd189d0d7103f14f2d94f02c1d7c56881914b1df66,Phase 1.14 published M3-margin path
w85__r05_f05,5,5,24,24,300,98756aea580d217060f4983dd6166346b796032507530973ea45c59aa26c5c68,Phase 1.14 published M3-margin path
w85__r05_f05,5,5,32,32,292,69c580ff3076ae20f05f3bf304bb7a7480c1fc77ae34a4727d35483a0a688a28,Phase 1.14 published M3-margin path
w85__r05_f05,5,5,40,40,284,6b2935f4b2bcd81093aef819c6fd9de3ab798b6625a918060f041daa2b3f00a9,Phase 1.14 published M3-margin path
w85__r05_f05,5,5,60,60,264,fb9cabb0231c71b1372b1cc90a35a7965db968589ab1030c0d5f60a229ce5aca,Phase 1.14 published M3-margin path
w85__r05_f05,5,5,80,80,244,a048b45c67f92b1ca9470af6f1d542ca4fda3ab61f261f227f0007882b68ed94,Phase 1.14 published M3-margin path
w85__r06_f01,6,1,16,16,308,1746f7acc60509c2ea68dc377817d5010ceed52fc8254e30f70bb98c933e0dfc,Phase 1.14 published M3-margin path
w85__r06_f01,6,1,24,24,300,d2f4659f174e4c68ad0466cf168fce3f3a34d3e95f3751a5a9e756c1d65c57c4,Phase 1.14 published M3-margin path
w85__r06_f01,6,1,32,32,292,6aea776b6684fb7c10fb542807ef8ca5305b12579a46c90d08c7e13ca7c00ba0,Phase 1.14 published M3-margin path
w85__r06_f01,6,1,40,40,284,1c092661fa19be74865968c523f09b904a9ffc3243b4d5f098572e68bc5b62ec,Phase 1.14 published M3-margin path
w85__r06_f01,6,1,60,60,264,4a48d5869ffac185f2cf5f3ab5d01c44a68ace319d0a715f6199fa8cbc63f38f,Phase 1.14 published M3-margin path
w85__r06_f01,6,1,80,80,244,ccf7431937365b93ffecf1e10bca514057308a2a1f0e0929f45557dbc3351e88,Phase 1.14 published M3-margin path
w85__r06_f02,6,2,16,16,308,4462d81e169d8ab64349a0d64dd239732857f057986989543d7988790205ae4a,Phase 1.14 published M3-margin path
w85__r06_f02,6,2,24,24,300,4cb72b6c636faeb11d8179291ed52611566d2ca54809b04d759065fd24ce3e35,Phase 1.14 published M3-margin path
w85__r06_f02,6,2,32,32,292,42c9ed4648f43dbb16ba9b2c053ad4e592c9156bba7696e9077fc5e8a5356fbe,Phase 1.14 published M3-margin path
w85__r06_f02,6,2,40,40,284,767a670c461df4e870ee257283c686b5b83fd037dd5a705ca72219771e6132a0,Phase 1.14 published M3-margin path
w85__r06_f02,6,2,60,60,264,a6e6a9efef6e14c4cdc3b19d46916daadef5dd349caafa845f4436d70d0fd08f,Phase 1.14 published M3-margin path
w85__r06_f02,6,2,80,80,244,2cd055da5243431988e0a87968e7a36ec0c5468f69107a540ad1bf3ca86e5729,Phase 1.14 published M3-margin path
w85__r06_f03,6,3,16,16,308,2473952dd6e680984830f3efc6815d644836db6504da4a872169f26499c143fa,Phase 1.14 published M3-margin path
w85__r06_f03,6,3,24,24,300,2ef99bc91138b305c60a45a42a34b80537752bff564998abd614694bbeba26d1,Phase 1.14 published M3-margin path
w85__r06_f03,6,3,32,32,292,e8e7ead6469b4835abfb6bd57bdea68ff3815b1bbfd1b00db885cee360f11c4a,Phase 1.14 published M3-margin path
w85__r06_f03,6,3,40,40,284,f93e297ac35bddec63d0259ce8deab528c6bcf3b6628edbb15ff90e9f440e6ef,Phase 1.14 published M3-margin path
w85__r06_f03,6,3,60,60,264,4accba33f35cb194b08890a1e400c490f8c1ba2fd7474c9d2e524a87e4eb6dc8,Phase 1.14 published M3-margin path
w85__r06_f03,6,3,80,80,244,a4f13ccd1af367226f9d15041ff521402a05f1d622842efaa2fc1c7544b112dc,Phase 1.14 published M3-margin path
w85__r06_f04,6,4,16,16,308,9582d5138fe75a723630410c4bc1db1f363f50d5eb9d5d06b59ca574b68a7c2c,Phase 1.14 published M3-margin path
w85__r06_f04,6,4,24,24,300,20e8ddfec5b0b7e71375a903b7da2dc2b00b81be26e945638cdace9457cc9d0b,Phase 1.14 published M3-margin path
w85__r06_f04,6,4,32,32,292,acd109d438598be872589b4cfaed93da507a35983dc5c95d6906c527617e699b,Phase 1.14 published M3-margin path
w85__r06_f04,6,4,40,40,284,f38471008fa8e185385fffd6c1d3b3cb6429954ddd92fafc9d9d3fcfa3ce3c3e,Phase 1.14 published M3-margin path
w85__r06_f04,6,4,60,60,264,8e976154909e469b3dce1f80beb8baf6c092edd869866f0e690a1c0105adb4de,Phase 1.14 published M3-margin path
w85__r06_f04,6,4,80,80,244,2b3d6f0b8c6be28c798884dabdc20ce2003e9cddd48c36c99026d8f4f848212b,Phase 1.14 published M3-margin path
w85__r06_f05,6,5,16,16,308,0064120ecb0f575616e422f253dfa71e46930b2c771515f04bc031753f40d20d,Phase 1.14 published M3-margin path
