benchmark,metric,tolerance,surrogate_variant,acquisition_rule,method,mean_curve_first_budget,seed_0_first_budget,seed_1_first_budget,seed_2_first_budget,seed_3_first_budget,seed_4_first_budget
branin,near_boundary_error_q30,0.4,fixed_iso_gpc,random,random,7,7,7,6,24,6
branin,near_boundary_error_q30,0.4,optimized_ard_gpc,classifier_entropy,classifier_entropy,12,6,10,6,18,6
branin,near_boundary_error_q30,0.4,optimized_ard_gpc,classifier_gated_diversity,classifier_gated_diversity,17,6,27,6,27,6
branin,near_boundary_error_q30,0.4,optimized_ard_gpc,classifier_margin,classifier_margin,12,6,10,6,18,6
branin,near_boundary_error_q30,0.4,optimized_ard_gpc,classifier_uncertainty_repulsion,classifier_uncertainty_repulsion,12,6,11,6,24,6
branin,near_boundary_error_q30,0.4,optimized_ard_gpc,random,random,13,6,9,6,21,6
branin,near_boundary_error_q30,0.4,optimized_iso_gpc,classifier_entropy,classifier_entropy,9,6,6,6,20,6
branin,near_boundary_error_q30,0.4,optimized_iso_gpc,classifier_gated_diversity,classifier_gated_diversity,15,6,6,6,27,6
branin,near_boundary_error_q30,0.4,optimized_iso_gpc,classifier_margin,classifier_margin,9,6,6,6,20,6
branin,near_boundary_error_q30,0.4,optimized_iso_gpc,classifier_uncertainty_repulsion,classifier_uncertainty_repulsion,10,6,6,6,28,6
branin,near_boundary_error_q30,0.4,optimized_iso_gpc,random,random,8,6,6,6,21,6
branin,near_boundary_error_q30,0.35,fixed_iso_gpc,classifier_entropy,classifier_entropy,16,8,7,8,24,7
branin,near_boundary_error_q30,0.35,fixed_iso_gpc,classifier_gated_diversity,classifier_gated_diversity,16,12,16,12,17,7
branin,near_boundary_error_q30,0.35,fixed_iso_gpc,classifier_margin,classifier_margin,16,8,7,8,24,7
