dataset,material,setting,repeat,fold,train_rows,test_rows,model,features,train_only_scaling,converged,n_iter,warnings,gamma_P,gamma_VX,sigma_P,sigma_VX,beta_P,beta_VX,alpha,beta_P_near_zero,alpha_extreme,alpha_valid,beta_P_positive,beta_VX_negative
transition_inclusive,Ti64,R1_C1,17,2,49,11,G,log_P|log_VX,True,True,7,,0.42788291764376546,-2.7863828215453834,0.09599280367113967,0.5900032856051053,4.457447863588225,-4.722656448747872,-1.0594978546638918,False,False,True,True,True
transition_inclusive,Ti64,R1_C1,17,3,47,13,G,log_P|log_VX,True,True,7,,0.27049700668882054,-2.808515003014462,0.08850819796830942,0.5503111218638275,3.056180251073157,-5.103503984259688,-1.669896264288609,False,False,True,True,True
transition_inclusive,Ti64,R1_C1,17,4,48,12,G,log_P|log_VX,True,True,7,,0.20040688667471349,-2.7464654043467798,0.09767514610938874,0.5830108146975957,2.0517695100273823,-4.710830974501485,-2.295984491181281,False,False,True,True,True
transition_inclusive,Ti64,R1_C1,18,0,48,12,G,log_P|log_VX,True,True,7,,0.3703455136165207,-2.757839315823828,0.09698740512715351,0.4856919748481773,3.818490794046775,-5.678165295372448,-1.487018196881606,False,False,True,True,True
transition_inclusive,Ti64,R1_C1,18,1,47,13,G,log_P|log_VX,True,True,7,,0.45010500191004404,-2.7968536451497337,0.09238763364777704,0.5083977864882852,4.871918287528021,-5.501309642728314,-1.1291875844493364,False,False,True,True,True
transition_inclusive,Ti64,R1_C1,18,2,49,11,G,log_P|log_VX,True,True,7,,0.350619222298587,-2.7292831880615167,0.09599280367113967,0.5908449870574555,3.6525573677352754,-4.61928804990625,-1.2646722788560565,False,False,True,True,True
transition_inclusive,Ti64,R1_C1,18,3,49,11,G,log_P|log_VX,True,True,6,,0.19057232882219088,-2.84130267738593,0.09668520182983453,0.5843919012760601,1.971059947287458,-4.8619816105968425,-2.4666837846752587,False,False,True,True,True
transition_inclusive,Ti64,R1_C1,18,4,47,13,G,log_P|log_VX,True,True,7,,0.21981267151466471,-2.725023475726099,0.08850819796830942,0.6062754937897074,2.4835289448935476,-4.494695074499086,-1.8098017676583769,False,False,True,True,True
transition_inclusive,Ti64,R1_C1,19,0,47,13,G,log_P|log_VX,True,True,7,,0.2101957859537147,-2.7121022629355185,0.0986961279465142,0.5852071662368863,2.129726771729331,-4.6344310517853184,-2.1760683639348612,False,False,True,True,True
transition_inclusive,Ti64,R1_C1,19,1,49,11,G,log_P|log_VX,True,True,7,,0.09836434734781858,-2.8136609503020815,0.0959928036711397,0.5294582332114461,1.0247054319280382,-5.314226456043056,-5.186101576571185,False,False,True,True,True
transition_inclusive,Ti64,R1_C1,19,2,49,11,G,log_P|log_VX,True,True,7,,0.35450406805206597,-2.8086806736116956,0.09949448650776,0.5827883458327661,3.563052391093216,-4.819383732868364,-1.352599738616159,False,False,True,True,True
transition_inclusive,Ti64,R1_C1,19,3,47,13,G,log_P|log_VX,True,True,7,,0.31308811970638645,-2.8311152662819943,0.08589663319127303,0.5481488143816224,3.64494052996475,-5.1648661677318985,-1.416996004536142,False,False,True,True,True
transition_inclusive,Ti64,R1_C1,19,4,48,12,G,log_P|log_VX,True,True,8,,0.6035215129603251,-2.6148208792938044,0.08845942133121668,0.5405344256930438,6.822580386328469,-4.837473350455382,-0.7090386740109397,False,False,True,True,True
transition_inclusive,316L,R1_C1,0,0,48,12,G,log_P|log_VX,True,True,7,,0.4191935112818057,-2.6528583990296952,0.09298800432059276,0.5663375063295814,4.508038583520528,-4.684235759384544,-1.0390851082127197,False,False,True,True,True
transition_inclusive,316L,R1_C1,0,1,48,12,G,log_P|log_VX,True,True,6,,0.6119821474535277,-2.7684907116808484,0.09698740512715351,0.5356119868695796,6.30991360838245,-5.168836358315055,-0.8191611928645864,False,False,True,True,True
transition_inclusive,316L,R1_C1,0,2,48,12,G,log_P|log_VX,True,True,7,,0.46665928917428123,-2.6738608223477276,0.09298800432059277,0.572690381617758,5.018489132914283,-4.668946621374191,-0.9303490548086314,False,False,True,True,True
transition_inclusive,316L,R1_C1,0,3,48,12,G,log_P|log_VX,True,True,7,,0.18838505045628778,-2.816841770971819,0.09698740512715351,0.5978428722300932,1.942366126914202,-4.7116757626704535,-2.4257402852034895,False,False,True,True,True
