repeat,model,subset,row_count,keyhole_count,roc_auc,pr_auc,accuracy,balanced_accuracy,keyhole_recall,conduction_recall,false_negative,false_positive,brier_score
5,gpc_4d_plus_early_p05,q20,76,31,0.9412186379928316,0.9042211384048026,0.9210526315789473,0.9182795698924731,0.9032258064516129,0.9333333333333333,3,3,0.09331726674732996
5,gpc_4d_plus_early_p10,full,350,70,0.9926530612244898,0.974090718076161,0.9828571428571429,0.9732142857142858,0.9571428571428572,0.9892857142857143,3,3,0.02342014579645346
5,gpc_4d_plus_early_p10,q30,113,37,0.9626600284495022,0.9179521998974196,0.9469026548672567,0.9397226173541964,0.918918918918919,0.9605263157894737,3,3,0.06817518010455523
5,gpc_4d_plus_early_p10,q20,76,31,0.9405017921146954,0.899612843473927,0.9342105263157895,0.9344086021505376,0.9354838709677419,0.9333333333333333,2,3,0.09320281826440122
5,gpc_4d_plus_early_p100,full,350,70,0.9927040816326531,0.9741468285014779,0.9828571428571429,0.9732142857142858,0.9571428571428572,0.9892857142857143,3,3,0.023446158143770393
5,gpc_4d_plus_early_p100,q30,113,37,0.9630156472261736,0.9181534071408803,0.9469026548672567,0.9397226173541964,0.918918918918919,0.9605263157894737,3,3,0.06823912571733325
5,gpc_4d_plus_early_p100,q20,76,31,0.9405017921146954,0.899612843473927,0.9342105263157895,0.9344086021505376,0.9354838709677419,0.9333333333333333,2,3,0.09330735981300183
5,gpc_4d_plus_early_p20,full,350,70,0.9927040816326531,0.9741468285014779,0.9828571428571429,0.9732142857142858,0.9571428571428572,0.9892857142857143,3,3,0.023442175557446657
5,gpc_4d_plus_early_p20,q30,113,37,0.9630156472261736,0.9181534071408803,0.9469026548672567,0.9397226173541964,0.918918918918919,0.9605263157894737,3,3,0.06822852965290926
5,gpc_4d_plus_early_p20,q20,76,31,0.9405017921146954,0.899612843473927,0.9342105263157895,0.9344086021505376,0.9354838709677419,0.9333333333333333,2,3,0.09329027461593681
5,gpc_4d_plus_early_p40,full,350,70,0.9927040816326531,0.9741468285014779,0.9828571428571429,0.9732142857142858,0.9571428571428572,0.9892857142857143,3,3,0.023446158143770393
5,gpc_4d_plus_early_p40,q30,113,37,0.9630156472261736,0.9181534071408803,0.9469026548672567,0.9397226173541964,0.918918918918919,0.9605263157894737,3,3,0.06823912571733325
5,gpc_4d_plus_early_p40,q20,76,31,0.9405017921146954,0.899612843473927,0.9342105263157895,0.9344086021505376,0.9354838709677419,0.9333333333333333,2,3,0.09330735981300183
6,gpc_4d,full,350,70,0.9912755102040818,0.9746939185614024,0.9771428571428571,0.9589285714285715,0.9285714285714286,0.9892857142857143,5,3,0.023240255096315655
6,gpc_4d,q30,111,38,0.9578226387887527,0.9233894435005207,0.9279279279279279,0.9136625811103101,0.868421052631579,0.958904109589041,5,3,0.07073031184229829
6,gpc_4d,q20,76,31,0.931899641577061,0.8972092764213567,0.9078947368421053,0.9021505376344086,0.8709677419354839,0.9333333333333333,4,3,0.09477874338218636
6,gpc_4d_plus_early_p02,full,350,70,0.9898469387755102,0.9750324768010104,0.9771428571428571,0.9642857142857143,0.9428571428571428,0.9857142857142858,4,4,0.02545708796355465
6,gpc_4d_plus_early_p02,q30,111,38,0.9585436193222783,0.9325041132474731,0.9279279279279279,0.9199711607786589,0.8947368421052632,0.9452054794520548,4,4,0.07214836618567164
6,gpc_4d_plus_early_p02,q20,76,31,0.9405017921146953,0.9201351506021924,0.9078947368421053,0.907168458781362,0.9032258064516129,0.9111111111111111,3,4,0.09353675390991549
6,gpc_4d_plus_early_p05,full,350,70,0.9903061224489795,0.9752876844699178,0.9771428571428571,0.9642857142857143,0.9428571428571428,0.9857142857142858,4,4,0.023884250321514453
6,gpc_4d_plus_early_p05,q30,111,38,0.9596250901225667,0.9315703562726643,0.9279279279279279,0.9199711607786589,0.8947368421052632,0.9452054794520548,4,4,0.07065417604162201
6,gpc_4d_plus_early_p05,q20,76,31,0.9397849462365592,0.9160561631679602,0.9078947368421053,0.907168458781362,0.9032258064516129,0.9111111111111111,3,4,0.09261080600618748
6,gpc_4d_plus_early_p10,full,350,70,0.9903571428571427,0.9753161291166352,0.9771428571428571,0.9642857142857143,0.9428571428571428,0.9857142857142858,4,4,0.02383852752485176
6,gpc_4d_plus_early_p10,q30,111,38,0.9599855803893295,0.9317209133337905,0.9279279279279279,0.9199711607786589,0.8947368421052632,0.9452054794520548,4,4,0.07052605669608776
6,gpc_4d_plus_early_p10,q20,76,31,0.9405017921146954,0.9163386490436665,0.9078947368421053,0.907168458781362,0.9032258064516129,0.9111111111111111,3,4,0.09242206785813814
6,gpc_4d_plus_early_p100,full,350,70,0.9903571428571427,0.9753161291166352,0.9771428571428571,0.9642857142857143,0.9428571428571428,0.9857142857142858,4,4,0.02385744973458407
6,gpc_4d_plus_early_p100,q30,111,38,0.9599855803893295,0.9317209133337905,0.9279279279279279,0.9199711607786589,0.8947368421052632,0.9452054794520548,4,4,0.07057557007039153
6,gpc_4d_plus_early_p100,q20,76,31,0.9405017921146954,0.9163386490436665,0.9078947368421053,0.907168458781362,0.9032258064516129,0.9111111111111111,3,4,0.0924898016240858
6,gpc_4d_plus_early_p20,full,350,70,0.9903571428571427,0.9753161291166352,0.9771428571428571,0.9642857142857143,0.9428571428571428,0.9857142857142858,4,4,0.023853594475348357
6,gpc_4d_plus_early_p20,q30,111,38,0.9599855803893295,0.9317209133337905,0.9279279279279279,0.9199711607786589,0.8947368421052632,0.9452054794520548,4,4,0.07056693720118783
6,gpc_4d_plus_early_p20,q20,76,31,0.9405017921146954,0.9163386490436665,0.9078947368421053,0.907168458781362,0.9032258064516129,0.9111111111111111,3,4,0.09247877746242196
6,gpc_4d_plus_early_p40,full,350,70,0.9903571428571427,0.9753161291166352,0.9771428571428571,0.9642857142857143,0.9428571428571428,0.9857142857142858,4,4,0.02385744973458407
6,gpc_4d_plus_early_p40,q30,111,38,0.9599855803893295,0.9317209133337905,0.9279279279279279,0.9199711607786589,0.8947368421052632,0.9452054794520548,4,4,0.07057557007039153
6,gpc_4d_plus_early_p40,q20,76,31,0.9405017921146954,0.9163386490436665,0.9078947368421053,0.907168458781362,0.9032258064516129,0.9111111111111111,3,4,0.0924898016240858
7,gpc_4d,full,350,70,0.9863265306122448,0.9622305872204181,0.9742857142857143,0.9517857142857142,0.9142857142857143,0.9892857142857143,6,3,0.02851158028469902
7,gpc_4d,q30,111,39,0.936965811965812,0.893756152373771,0.918918918918919,0.9022435897435898,0.8461538461538461,0.9583333333333334,6,3,0.08510630015424792
7,gpc_4d,q20,76,31,0.9039426523297491,0.865443706957062,0.8947368421052632,0.886021505376344,0.8387096774193549,0.9333333333333333,5,3,0.11137652734971082
7,gpc_4d_plus_early_p02,full,350,70,0.9860714285714286,0.9607515141571153,0.9742857142857143,0.9517857142857142,0.9142857142857143,0.9892857142857143,6,3,0.03047936849088932
7,gpc_4d_plus_early_p02,q30,111,39,0.9391025641025641,0.8992159333054982,0.918918918918919,0.9022435897435898,0.8461538461538461,0.9583333333333334,6,3,0.0868293869422665
7,gpc_4d_plus_early_p02,q20,76,31,0.9075268817204301,0.8754879073008675,0.8947368421052632,0.886021505376344,0.8387096774193549,0.9333333333333333,5,3,0.11212871957767971
7,gpc_4d_plus_early_p05,full,350,70,0.9883673469387755,0.963573846387067,0.9742857142857143,0.9517857142857142,0.9142857142857143,0.9892857142857143,6,3,0.029089333616109454
7,gpc_4d_plus_early_p05,q30,111,39,0.9448005698005698,0.9043374617131962,0.918918918918919,0.9022435897435898,0.8461538461538461,0.9583333333333334,6,3,0.0835854353904295
7,gpc_4d_plus_early_p05,q20,76,31,0.9132616487455197,0.8806097447986215,0.8947368421052632,0.886021505376344,0.8387096774193549,0.9333333333333333,5,3,0.10836942939654884
7,gpc_4d_plus_early_p10,full,350,70,0.9883163265306123,0.9631409459541668,0.9742857142857143,0.9517857142857142,0.9142857142857143,0.9892857142857143,6,3,0.029066229171546415
7,gpc_4d_plus_early_p10,q30,111,39,0.9448005698005698,0.9043374617131962,0.918918918918919,0.9022435897435898,0.8461538461538461,0.9583333333333334,6,3,0.08343728837335639
7,gpc_4d_plus_early_p10,q20,76,31,0.9132616487455197,0.8806097447986215,0.8947368421052632,0.886021505376344,0.8387096774193549,0.9333333333333333,5,3,0.10813410016082087
7,gpc_4d_plus_early_p100,full,350,70,0.9883163265306123,0.9631409459541668,0.9742857142857143,0.9517857142857142,0.9142857142857143,0.9892857142857143,6,3,0.029062240669506037
7,gpc_4d_plus_early_p100,q30,111,39,0.9448005698005698,0.9043374617131962,0.918918918918919,0.9022435897435898,0.8461538461538461,0.9583333333333334,6,3,0.08342108987702526
7,gpc_4d_plus_early_p100,q20,76,31,0.9132616487455197,0.8806097447986215,0.8947368421052632,0.886021505376344,0.8387096774193549,0.9333333333333333,5,3,0.10810381700061766
7,gpc_4d_plus_early_p20,full,350,70,0.9883163265306123,0.9631409459541668,0.9742857142857143,0.9517857142857142,0.9142857142857143,0.9892857142857143,6,3,0.02906215514327415
7,gpc_4d_plus_early_p20,q30,111,39,0.9448005698005698,0.9043374617131962,0.918918918918919,0.9022435897435898,0.8461538461538461,0.9583333333333334,6,3,0.08342061629520006
7,gpc_4d_plus_early_p20,q20,76,31,0.9132616487455197,0.8806097447986215,0.8947368421052632,0.886021505376344,0.8387096774193549,0.9333333333333333,5,3,0.10810378414760272
7,gpc_4d_plus_early_p40,full,350,70,0.9883163265306123,0.9631409459541668,0.9742857142857143,0.9517857142857142,0.9142857142857143,0.9892857142857143,6,3,0.029062240669506037
7,gpc_4d_plus_early_p40,q30,111,39,0.9448005698005698,0.9043374617131962,0.918918918918919,0.9022435897435898,0.8461538461538461,0.9583333333333334,6,3,0.08342108987702526
7,gpc_4d_plus_early_p40,q20,76,31,0.9132616487455197,0.8806097447986215,0.8947368421052632,0.886021505376344,0.8387096774193549,0.9333333333333333,5,3,0.10810381700061766
8,gpc_4d,full,350,70,0.9908673469387755,0.968113714442825,0.9628571428571429,0.9339285714285714,0.8857142857142857,0.9821428571428571,8,5,0.02702240313251215
8,gpc_4d,q30,113,37,0.9491465149359886,0.8940114583606402,0.8938053097345132,0.8725106685633002,0.8108108108108109,0.9342105263157895,7,5,0.07813895612065097
8,gpc_4d,q20,76,28,0.9099702380952381,0.8358360642557802,0.8421052631578947,0.8229166666666667,0.75,0.8958333333333334,7,5,0.10976421020303599
8,gpc_4d_plus_early_p02,full,350,70,0.9897448979591836,0.9630004645650161,0.9657142857142857,0.9410714285714286,0.9,0.9821428571428571,7,5,0.02834401959121287
8,gpc_4d_plus_early_p02,q30,113,37,0.95199146514936,0.8827625551234917,0.9026548672566371,0.8860241820768137,0.8378378378378378,0.9342105263157895,6,5,0.07784644654860294
8,gpc_4d_plus_early_p02,q20,76,28,0.9122023809523809,0.8185211871896679,0.8552631578947368,0.8407738095238095,0.7857142857142857,0.8958333333333334,6,5,0.11035224559534948
8,gpc_4d_plus_early_p05,full,350,70,0.9906632653061225,0.9686056784802636,0.9714285714285714,0.9553571428571428,0.9285714285714286,0.9821428571428571,5,5,0.02706410090825939
8,gpc_4d_plus_early_p05,q30,113,37,0.9562588904694169,0.9051171294051334,0.9203539823008849,0.9130512091038407,0.8918918918918919,0.9342105263157895,4,5,0.07531389349687238
8,gpc_4d_plus_early_p05,q20,76,28,0.9196428571428571,0.8477433232923134,0.881578947368421,0.8764880952380952,0.8571428571428571,0.8958333333333334,4,5,0.10624582513240065
