subset,contrast,contrast_role,metric,lower_is_better,mean_difference,ci_low,ci_high,signflip_p,repeat_blocks,holm_p_metric_family
q30,gpc_4d_plus_early_p02 - gpc_4d,early_prefix,false_negative,True,-0.35,-0.7,0.0,0.12339383030848458,20,
q30,gpc_4d_plus_early_p02 - gpc_4d,early_prefix,false_positive,True,0.25,0.1,0.45,0.061396930153492325,20,
q30,gpc_4d_plus_early_p02 - gpc_4d,early_prefix,brier_score,True,0.0011856228788884025,4.61331170967585e-05,0.002314455321415072,0.06649667516624169,20,0.26598670066496677
q30,gpc_4d_plus_early_p05 - gpc_4d,early_prefix,roc_auc,False,0.004442999686781235,0.0025136773083465373,0.006374078665731094,0.0005499725013749313,20,0.0027498625068746564
q30,gpc_4d_plus_early_p05 - gpc_4d,early_prefix,pr_auc,False,0.010264085734834455,0.0066627736540721995,0.013991740622937602,4.999750012499375e-05,20,0.0002999850007499625
q30,gpc_4d_plus_early_p05 - gpc_4d,early_prefix,accuracy,False,0.0017660378881658389,-0.0031654529342747375,0.0067213699356520225,0.567621618919054,20,0.576271186440678
q30,gpc_4d_plus_early_p05 - gpc_4d,early_prefix,balanced_accuracy,False,0.005146121906666223,-0.0015162069786011127,0.011861326700050088,0.1455427228638568,20,0.4366281685915704
q30,gpc_4d_plus_early_p05 - gpc_4d,early_prefix,keyhole_recall,False,0.015015166988851187,0.0028846153846153744,0.027182066935356373,0.02199890005499725,20,0.087995600219989
q30,gpc_4d_plus_early_p05 - gpc_4d,early_prefix,conduction_recall,False,-0.0047229231755186955,-0.008733137066410306,-0.001285214892253637,0.03079846007699615,20,
q30,gpc_4d_plus_early_p05 - gpc_4d,early_prefix,false_negative,True,-0.55,-1.0,-0.1,0.06014699265036748,20,
q30,gpc_4d_plus_early_p05 - gpc_4d,early_prefix,false_positive,True,0.35,0.1,0.65,0.06429678516074196,20,
